ID,Age,Gender,Employed,Graduate,Work Exp,Salary,Distance,Licence,Transport
43,26,Male,Yes,0.0,3,10.7,12.2,1,Public Transport
44,23,Male,Yes,0.0,0,7.7,11.7,0,Other
45,26,Male,Yes,0.0,5,12.8,15.0,0,Public Transport
46,27,Male,Yes,0.0,4,13.4,4.6,0,Public Transport
47,27,Female,Yes,0.0,5,12.8,11.8,0,Other
48,20,Female,Yes,0.0,2,9.0,16.2,0,Other
49,30,Female,Yes,0.0,8,14.7,8.5,0,Public Transport
50,26,Male,No,0.0,5,12.6,11.1,0,Public Transport
51,21,Male,Yes,1.0,3,9.8,15.3,0,Public Transport
52,26,Female,Yes,1.0,4,12.8,10.8,0,Public Transport
53,30,Male,Yes,0.0,4,16.8,9.9,0,Private Transport
54,31,Male,Yes,0.0,10,14.8,8.4,0,Public Transport
55,26,Male,Yes,1.0,5,12.7,12.5,0,Public Transport
56,33,Male,Yes,1.0,14,34.9,10.9,0,Public Transport
57,26,Male,No,0.0,4,12.6,7.5,0,Other
58,30,Male,Yes,0.0,8,14.6,7.1,0,Public Transport
59,27,Male,Yes,0.0,7,16.6,6.4,0,Public Transport
60,22,Male,Yes,1.0,2,12.7,12.0,0,Public Transport
61,26,Male,No,0.0,4,12.7,13.3,0,Public Transport
62,30,Female,Yes,0.0,7,14.6,10.5,0,Public Transport
63,25,Male,No,0.0,3,9.9,15.9,0,Public Transport
64,25,Male,No,0.0,1,7.6,6.3,0,Other
65,26,Male,No,0.0,7,18.8,13.8,0,Public Transport
66,25,Female,Yes,1.0,1,8.6,11.2,0,Other
67,30,Male,Yes,0.0,6,15.7,11.9,1,Public Transport
68,33,Male,Yes,0.0,10,16.9,12.3,0,Private Transport
69,25,Male,Yes,0.0,1,8.6,9.7,0,Public Transport
70,23,Male,Yes,0.0,1,7.9,15.2,0,Public Transport
71,31,Male,Yes,1.0,12,28.8,9.3,0,Public Transport
72,23,Male,Yes,0.0,1,7.5,7.5,0,Public Transport
73,23,Male,Yes,1.0,0,6.6,9.2,0,Public Transport
74,26,Female,Yes,1.0,3,10.9,9.1,0,Public Transport
75,22,Male,Yes,0.0,1,7.5,5.1,0,Public Transport
76,24,Male,Yes,0.0,4,13.8,13.2,0,Public Transport
77,22,Female,Yes,0.0,0,6.5,7.6,0,Public Transport
78,25,Male,No,0.0,5,13.7,12.7,1,Other
79,32,Male,Yes,0.0,9,15.5,5.5,0,Public Transport
80,24,Male,Yes,1.0,0,7.6,9.5,0,Public Transport
81,28,Male,Yes,0.0,6,13.6,6.9,1,Public Transport
82,32,Female,Yes,1.0,9,15.9,16.6,0,Public Transport
83,22,Male,No,0.0,0,6.8,15.2,1,Other
84,32,Male,Yes,0.0,12,15.7,10.9,0,Public Transport
85,24,Female,No,0.0,0,6.8,12.2,0,Public Transport
86,30,Male,Yes,0.0,8,14.9,15.5,1,Other
87,36,Female,Yes,0.0,18,44.0,13.6,1,Private Transport
88,30,Male,Yes,0.0,10,13.8,11.4,0,Public Transport
